name,description,implementation_status,effect_level,version,rank
List,Represents a list of elements,✅,pure,1.0,1
Rule,Represents a transformation rule lhs -> rhs,✅,pure,1.0,2
Times,Multiply numbers — symbolic factors are ordered canonically by head then arguments,✅,pure,1.0,3
Power,Raises a number to a power (infinite bases raise their direction; infinite exponents follow the modulus of the base; a negative base with a rational exponent keeps the sign in the radicand unless the positive part is exact); an integer to a negative power is the exact reciprocal,✅,pure,1.0,4
Set,Assigns a value to a symbol,✅,stateful,1.0,5
Plus,Adds numbers together,✅,pure,1.0,6
Blank,Pattern object matching any expression,✅,pure,1.0,7
CompoundExpression,Evaluates expressions sequentially and returns the last result,✅,pure,1.0,8
Pattern,Names a pattern object for use in transformation rules,✅,pure,1.0,9
Alternatives,Pattern object representing any of several alternatives,✅,pure,2.0,10
Equal,Checks if two values are equal; operands of different kinds (a Boolean or Null against anything else) stay unevaluated,✅,pure,1.0,11
Unequal,Checks if two values are not equal; operands of different kinds (a Boolean or Null against anything else) stay unevaluated,✅,pure,1.0,200
Part,Extracts parts of expressions: positional/Span/list indices and string/Key lookup on associations,✅,pure,1.0,12
SetDelayed,Defines a delayed assignment that evaluates the RHS each time,✅,stateful,1.0,15
Pi,Represents the ratio of circumference to diameter,✅,pure,1.0,16
E,Represents the base of the natural logarithm,✅,pure,1.0,42
Degree,Represents the number of radians in one degree,✅,pure,1.0,150
I,Represents the square root of -1,✅,pure,1.0,
GoldenRatio,The golden ratio constant; approximately 1.6180340,✅,pure,1.0,469
EulerGamma,The Euler-Mascheroni constant; approximately 0.5772157,✅,pure,1.0,868
Catalan,The Catalan constant; approximately 0.9159655,✅,pure,1.0,1836
Slot,Represents the nth argument (#n) or named association key (#name) in a pure function,✅,pure,1.0,17
Sqrt,Returns the square root of a number,✅,pure,1.0,18
Exp,Returns the exponential function e^x,✅,pure,1.0,52
Log,Returns the natural logarithm of a number,✅,pure,1.0,58
Function,Represents a pure function,✅,pure,1.0,19
ReplaceAll,Applies replacement rules to an expression,✅,pure,1.0,20
Plot,Plots a function over a range,✅,effectful,1.0,21
Cos,Returns the cosine of a number,✅,pure,1.0,31
Sin,Returns the sine of a number,✅,pure,1.0,22
Tan,Returns the tangent of a number,✅,pure,1.0,171
Csc,Returns the cosecant of a number,✅,pure,1.0,374
Cot,Returns the cotangent of a number,✅,pure,1.0,358
Sec,Returns the secant of a number,✅,pure,1.0,388
ArcCos,Returns the arc cosine of a number,✅,pure,1.0,249
ArcSin,Returns the arc sine of a number,✅,pure,1.0,250
ArcTan,Returns the arc tangent of a number,✅,pure,1.0,153
ArcCsc,Returns the arc cosecant of a number,✅,pure,1.0,370
ArcCot,Returns the arc cotangent of a number,✅,pure,1.0,316
ArcSec,Returns the arc secant of a number,✅,pure,1.0,372
None,Symbol representing no value or absence of an option,✅,pure,1.0,23
All,Symbol used as an option value meaning all elements or the entire range,✅,pure,1.0,40
RGBColor,Specifies a color by RGB values,✅,pure,1.0,24
Derivative,Represents the derivative of a function,✅,pure,1.0,26
D,Computes the partial derivative of an expression,✅,pure,1.0,36
Integrate,Computes the definite or indefinite integral of an expression; a logarithmic antiderivative keeps the power its terms share out front,✅,pure,1.0,54
